gene	Sample_ID	compendium_version	rollup_cohort
GATA2	THID	TCGA	AtLeastOneSample
CCND3	THID	TCGA	AtLeastOneSample
CDK9	THID	TCGA	AtLeastOneSample
CCND3	THID	TCGA	AtLeastOneSample
PTCH1	THID	TCGA	AtLeastOneSample
IGF2	THID	TCGA	AtLeastOneSample
PIK3CD	THID	TCGA	AtLeastOneSample
FGFR2	THID	TCGA	AtLeastOneSample
PDGFRA	THID	TCGA	AtLeastOneSample
IGF2	THID	TCGA	AtLeastOneSample
TSC2	THID	TCGA	AtLeastOneSample
ETV1	THID	TCGA	AtLeastOneSample
HMOX1	THID	TCGA	AtLeastOneSample
IGF2	THID	TCGA	AtLeastOneSample
PARP2	THID	TCGA	AtLeastOneSample
FGFR3	THID	TCGA	AtLeastOneSample
KDR	THID	TCGA	AtLeastOneSample
BCL6	THID	TCGA	AtLeastOneSample
ETV1	THID	TCGA	AtLeastOneSample
IGF2	THID	TCGA	AtLeastOneSample
FGFR1	THID	TCGA	AtLeastOneSample
